Dance,Figure Name,Level,Step,Lead Feet Positions,Lead Alignment,Lead Amount of Turn,Lead Rise and Fall,Lead Footwork,Lead CBM,Lead Sway,Follow Feet Positions,Follow Alignment,Follow Amount of Turn,Follow Rise and Fall,Follow Footwork,Follow CBM,Follow Sway,General Notes
Tango,Oversway,Gold,2,RF to side and slightly back,Backing LOD,,,BH,false,Nil,L heel closes to R heel,L toe pointing down LOD,,,Whole foot BH,false,Nil,
Tango,Oversway,Gold,3,LF back and sideways,Down then along LOD, L toe W and DW,,IE of B,false,Nil,RF fwd and sideways,Down then along LOD. End backing wall,,,BH,false,Nil,
Tango,Oversway,Gold,4,Position held. L knee flexes,R toe pointing DW against LOD,,,H (LF) IE B RF,false,Nil,Position held. R knee flexes,L toe pointing DC against LOD,,,IE of B of LF,false,Nil,
Tango,Basic Reverse Turn,Pre-Bronze,1,LF fwd in CBMP,DC,3/4 to L,,H,true,Nil,RF back in CBMP,DC,3/4 to L,,BH,true,Nil,Note. Timing can be QQSQQS or QQ&QQS.
Tango,Basic Reverse Turn,Pre-Bronze,2,RF to side and slightly back,Backing LOD,,,BH,false,Nil,LF to side and slightly fwd,Pointing down LOD,,,Whole foot,false,Nil,
Tango,Basic Reverse Turn,Pre-Bronze,3,LF crosses in front of RF,Backing LOD,,,Whole foot,false,Nil,RF closes to LF slightly back,Facing LOD,,,Whole foot,false,Nil,
Tango,Basic Reverse Turn,Pre-Bronze,4,RF back,Down LOD,,,BH,true,Nil,LF forward,Down LOD,,,H,true,Nil,
Tango,Basic Reverse Turn,Pre-Bronze,5,LF to side and slightly fwd,Pointing DW,,,IE of foot,false,Nil,RF to side and slightly back,Backing DW,,,IE of BH,false,Nil,
Tango,Basic Reverse Turn,Pre-Bronze,6,RF closes to LF slightly back,Facing DW,,,Whole foot,false,Nil,LF closes to RF slightly fwd,Backing DW,,,Whole foot,false,Nil,
Tango,The Chase,Gold,1,LF to side in PP,Along LOD pointing DW,3/4 R between 2-6,,H,false,Nil,RF to side in PP,Along LOD pointing DC,7/8 or 3/4 L,,H,false,Nil,Note. A sharp body turn to R is used on step 4.
Tango,The Chase,Gold,2,RF fwd and across in PP and CBMP,Along LOD pointing DW,,,H,true,Nil,LF fwd and across in PP and CBMP,Along LOD pointing DC,,,H,true,Nil,
Tango,The Chase,Gold,3,LF to side and slightly fwd,Facing wall,,,IE of BH,false,Nil,RF to side and slightly back,Backing wall,,,IE of BH,false,Nil,
Tango,The Chase,Gold,4,RF fwd in CBMP OP,Almost against LOD,,,BH,true,Nil,LF back in CBMP,Almost against LOD,,,BH,true,Nil,
Tango,The Chase,Gold,5,LF back in CBMP,Almost DW,,,BH,true,Nil,RF fwd in CBMP OP,Almost DW,,,H,true,Nil,
Tango,The Chase,Gold,6,"RF to side, small step in PP",Facing DC,,,BH and IE of B of LF,false,Nil,LF to side. RF placed to side without weight in PP,Backing DC. End facing DC against LOD,,,"BH, and IE of B of RF",false,Nil,
Tango,Five Step,Silver,1,LF fwd in CBMP,DW,1/4 to L between 1-2,,H,true,Nil,RF back in CBMP,DW,1/4 to L between 1-2,,BH,true,Nil,Note. Heel of RF (Man) and LF (Lady) does not lower until Follow has completed turn on 5.
Tango,Five Step,Silver,2,RF to side and slightly back,Backing DW against LOD,,,BH,false,Nil,LF to side and slightly fwd,Pointing DW against LOD,,,Whole foot,false,Nil,
Tango,Five Step,Silver,3,LF back in CBMP,DW against LOD,,,BH,false,Nil,RF fwd in CBMP OP,DW against LOD,,,H,false,Nil,
Tango,Five Step,Silver,4,RF back and slightly rightwards,DW against LOD,,,B,false,Nil,LF fwd and slightly leftwards,DW against LOD,,,B,false,Nil,
Tango,Five Step,Silver,5,LF placed to side without weight in PP,Facing DW of new LOD,Body turns R on 5,,H RF IE B LF,false,Nil,RF placed to side without weight in PP,Facing DC of new LOD,1/4 to R on 5,,H LF IE B RF,false,Nil,
Tango,Contra Check,Gold,1,LF fwd in CBMP slightly flexing knees,DW pointing almost LOD,Body turn to L,,B (Flat),true,Nil,RF back in CBMP slightly flexing knees,DW feet backing almost LOD,Body turn to L,,B,true,Nil,Note. Body turns R on 2. End facing DW/DC.
Tango,Contra Check,Gold,2,Transfer weight back to RF,DC against LOD,Body turn to R,,BH,false,Nil,Transfer weight fwd to LF,DC against LOD,Body turn to R,,BH,false,Nil,
Tango,Contra Check,Gold,3,LF placed to side no weight PP,Facing DW,1/4 to R between 2-3,,IE of B LF,false,Nil,RF placed to side without weight in PP,Facing DC,1/4 to R between 2-3,,B LF flat IE B RF,false,Nil,
Quickstep,Heel Pivot Quarter Turn to Left,Bronze,1,RF back,Backing DC,Com to turn L,Slight rise 1-3 NFR,TH,true,S,LF fwd,Facing DC,Com to turn L,Rise e/o 1,HT,true,S,Note. 3/8 turn may be made on this figure.
Quickstep,Heel Pivot Quarter Turn to Left,Bronze,2,LF closes towards RF,Towards alignment of 3,Cont turn on R heel,,H,false,R,RF to side,Backing wall,1/8 between 1-2,Up,T,false,L,
Quickstep,Heel Pivot Quarter Turn to Left,Bronze,3,LF closes to RF slightly fwd no weight,Facing DW,1/4 between 1-3,,H(RF) pressure T LF,false,R,LF closes to RF,Backing DW,1/8 between 2-3,Up. Lower e/o 3,TH,false,L,
Quickstep,Heel Pivot Quarter Turn to Left,Bronze,4,LF fwd,Facing DW,,,H,true,S,RF back,Backing DW,Nil,,T,true,S,
Quickstep,Zig-Zag Back Lock and Running Finish,Gold,1,LF fwd,Facing LOD,Com to turn L,,HT,true,S,RF back,Backing LOD,Com to turn L 3/8 between 1-2,Rise e/o 1,TH,true,S,Note. No R side lead needed on 4 and 6 as body already in correct position.
Quickstep,Zig-Zag Back Lock and Running Finish,Gold,2,RF to side,Backing wall,1/4 between 1-2,,TH,false,S,LF closes to RF (Heel Turn),Facing DW,Body turns less,Up,H,false,S,
Quickstep,Zig-Zag Back Lock and Running Finish,Gold,3,LF back in CBMP,Backing DW,1/8 between 2-3,Com to rise e/o 3,TH,true,S,RF fwd in CBMP OP,Facing DW,Nil,Com to rise e/o 3,HT,true,S,
Quickstep,Zig-Zag Back Lock and Running Finish,Gold,4,RF back,Backing DW,Body turns less,NFR Cont rise 4-5,T,false,S,LF diag fwd,Facing DW,Nil,Cont rise 4-5,T,false,S,
Quickstep,Zig-Zag Back Lock and Running Finish,Gold,5,LF crosses in front of RF,Backing DW,,Nil,T,false,S,RF crosses behind LF,Facing DW,Nil,,T,false,S,
Quickstep,Zig-Zag Back Lock and Running Finish,Gold,6,RF diag back,Backing DW,,Up. Lower e/o 6,TH,false,S,LF diag fwd,Facing DW,Nil,Up. Lower e/o 6,TH,false,S,
Quickstep,Zig-Zag Back Lock and Running Finish,Gold,7,LF back in CBMP,Backing DW,,Rise e/o 7,T,true,S,RF fwd in CBMP OP,Facing DW,Com turn R,Rise e/o 7,HT,true,S,
Quickstep,Zig-Zag Back Lock and Running Finish,Gold,8,RF to side and slightly fwd,Pointing to LOD,Com turn R 3/8 between 7-8,Up,T,false,S,LF to side,Backing DC,1/4 between 7-8,Up,T,false,S,
Quickstep,Zig-Zag Back Lock and Running Finish,Gold,9,LF fwd preparing step OP,Facing LOD,Body turns less,Up. Lower e/o 9,TH,false,L,RF back R side leading,Backing LOD,1/8 between 8-9,Up. Lower e/o 9,TH,false,R,
Quickstep,Zig-Zag Back Lock and Running Finish,Gold,10,RF fwd in CBMP OP,Facing LOD,Body turn to R,,H,true,L,LF back in CBMP,Backing LOD,Nil,,T,true,R,
Quickstep,Cross Chasse,Bronze,1,LF fwd,Facing DW,Nil,Rise e/o 1,TH,true,L,RF back,Backing DW,Nil,Rise e/o 1 NFR,TH,true,R,
Quickstep,Cross Chasse,Bronze,2,RF to side,Facing DW,Nil,Up,T,false,L,LF to side,Backing DW,Nil,Up,T,false,R,
Quickstep,Cross Chasse,Bronze,3,LF closes to RF,Facing DW,Nil,Up. Lower e/o 3,TH,false,L,RF closes to LF,Backing DW,Nil,Up. Lower e/o 3,TH,false,R,
Quickstep,Cross Chasse,Bronze,4,RF fwd in CBMP OP,Facing DW,Nil,,H,true,S,LF back in CBMP,Backing DW,Nil,,T,true,S,
Quickstep,Change of Direction,Bronze,1,LF fwd,Facing DW,Com to turn L,,H,true,S,RF back,Backing DW,Com to turn L,,TH,true,S,Note. Up to 1/2 turn may be made when the figure is danced at a corner.
Quickstep,Change of Direction,Bronze,2,RF diag fwd R side leading,DW R toe pointing LOD,1/4 between 1-3,,IE of TH,false,S,LF diag back L side leading,Backing DW,1/4 between 1-3,,T IE of TH,false,S,
Quickstep,Change of Direction,Bronze,3,LF closes to RF slightly fwd no weight,Facing DC,Nil,,IE of T (LF),false,L,RF closes to LF slightly back no weight,Backing DC,Nil,,IE of T (RF),false,R,
Quickstep,Change of Direction,Bronze,4,LF fwd in CBMP,Facing DC,Nil,,H,true,S,RF back in CBMP,Backing DC,Nil,,T,true,S,
Waltz,Drag Hesitation,Silver,1,LF fwd,Facing LOD,Com to turn L 1/4 between 1-2,Rise e/o 2,HT,true,Nil,RF back,Backing LOD,Com to turn L Just over 1/2 between 1-2,Rise e/o 2,TH,true,Nil,Note. Follow gets slight foot swivel between 2-3.
Waltz,Drag Hesitation,Silver,2,RF to side,Backing wall,1/8 between 2-3,Up,T,false,Nil,LF to side,Pointing between W and DW,Just under 1/8 between 2-3,Up,T,false,Nil,
Waltz,Drag Hesitation,Silver,3,LF closes to RF without weight,Backing DW,Nil,Up. Lower e/o 3,T both feet then TH RF,false,Nil,RF closes to LF without weight,Facing DW,Nil,Up. Lower e/o 3,T both feet then TH LF,false,Nil,
Waltz,The Fallaway Whisk,Gold,1,LF back,Backing LOD,Com to turn R 3/8 between 1-2,Com to rise e/o 1 NFR,TH,true,S,RF fwd,Facing LOD,Com to turn R 3/8 between 1-2,Com to rise e/o 1,HT,true,S,Note. Some Men prefer Footwork of T on step 2. Both are correct.
Waltz,The Fallaway Whisk,Gold,2,RF to side and slightly back,Pointing DC,Body turns less,Cont to rise on 2,TH,false,S,LF to side,Backing DC,Nil,Cont to rise on 2,TH,false,S,
Waltz,The Fallaway Whisk,Gold,3,LF crosses loosely behind RF in Fallaway,Facing DC,Body cont to turn R,Lower on 3,TH,false,R,RF crosses loosely behind LF in Fallaway,Facing DC against LOD,1/4 between 2-3 Body cont turn,Lower on 3,TH,false,L,
Foxtrot,Feather Step,Pre-Bronze,1,RF fwd,Facing LOD,Nil,Rise e/o 1,HT,true,S,LF back,Backing LOD,Nil,Rise e/o 1 NFR,TH,true,S,Note. The Feather Step may also be danced DW or DC. Lady: It is important to release the toe of the front foot from the floor as it commences to move back towards the supporting foot.
Foxtrot,Feather Step,Pre-Bronze,2,LF fwd preparing to step OP L side leading,Facing LOD,Nil,Up,T,false,R,RF back R side leading,Backing LOD,Nil,Up. NFR,TH,false,L,
Foxtrot,Feather Step,Pre-Bronze,3,RF fwd in CBMP OP,Facing LOD,Nil,Up. Lower e/o 3,TH,false,R,LF back in CBMP,Backing LOD,Nil,NFR Lower e/o 3,TH,false,L,
Foxtrot,Feather Step,Pre-Bronze,4,LF fwd,Facing LOD,Nil,,H,true,S,RF back,Backing LOD,Nil,,T,true,S,
Foxtrot,Three Step,Pre-Bronze,1,RF fwd,Facing LOD,Nil,Rise e/o 1,HT,false,L,LF back,Backing LOD,Nil,Rise e/o 1 NFR,TH,false,R,"Note. The Three Step may also be danced DW. A slight R side lead is used on steps 1 and 2 (Man), and a slight L side lead for Lady."
Foxtrot,Three Step,Pre-Bronze,2,LF fwd,Facing LOD,Nil,Up. Lower e/o 2,TH,false,L,RF back,Backing LOD,Nil,Up NFR Lower e/o 2,TH,false,R,
Foxtrot,Three Step,Pre-Bronze,3,RF fwd,Facing LOD,Nil,,H,true,S,LF back,Backing LOD,Nil,,T,true,S,
Foxtrot,Natural Turn,Pre-Bronze,1,RF fwd,Facing LOD,Com to turn R 3/8 between 1-2,Rise e/o 1,HT,true,S,LF back,Backing LOD,Com to turn R,Rise slightly e/o 1 NFR,TH,true,S,"Note. Alignment. When commenced DW, 1/4 will be made between 1-2 and 1/8 between 2-3. At corner, turn 1/4 between 4-5 to face new LOD."
Foxtrot,Natural Turn,Pre-Bronze,2,LF to side,Backing DC,1/4 between 2-3,Up,T,false,R,RF closes to LF (Heel Turn),Facing LOD,1/2 between 1-2,Cont to rise on 2,HT,false,L,
Foxtrot,Natural Turn,Pre-Bronze,3,RF back,Backing LOD,Com to turn R,Up. Lower e/o 3,TH,false,R,LF fwd,Facing LOD,Com to turn R,Up. Lower e/o 3,TH,false,L,
Foxtrot,Natural Turn,Pre-Bronze,4,LF back,Backing LOD,3/8 between 4-5,,TH,true,S,RF fwd,Facing LOD,Com to turn R,,HT,true,S,
Foxtrot,Natural Turn,Pre-Bronze,5,RF to side small step (Heel Pull),Facing DC,Body turn to L,,H IE whole foot then IE of LF,false,L,LF to side,Backing DC,3/8 between 4-5,,TH then IE of T of RF,false,R,
Foxtrot,Natural Turn,Pre-Bronze,6,LF fwd,Facing DC,Nil,,H,true,S,RF back having brushed to LF,Backing DC,Body turn to L,,T,true,R,
Foxtrot,Reverse Turn (incorporating Feather Finish),Pre-Bronze,1,LF fwd,Facing DC,Com to turn L,Rise e/o 1,HT,true,S,RF back,Backing DC,Com to turn L,Rise slightly e/o 1 NFR,TH,true,S,"Note. Feather Finish (steps 4-7) may be commenced in other alignments. When RF moves back for step 7, the Heel must be in contact with the floor."
Foxtrot,Reverse Turn (incorporating Feather Finish),Pre-Bronze,2,RF to side,Backing DW,1/4 between 1-2,Up,T,false,L,LF closes to RF (Heel Turn),Facing LOD,3/8 between 1-2,Cont to rise on 2,HT,false,R,
Foxtrot,Reverse Turn (incorporating Feather Finish),Pre-Bronze,3,LF back,Backing LOD,1/8 between 2-3,Up. Lower e/o 3,TH,false,L,RF fwd,Facing LOD,Nil,Up. Lower e/o 3,TH,false,R,
Foxtrot,Reverse Turn (incorporating Feather Finish),Pre-Bronze,4,RF back,Backing LOD,Com to turn L 3/8 between 4-5 Body turns less,Rise e/o 4,THT,true,S,LF fwd,Facing LOD,Com to turn L,Rise e/o 4,HT,true,S,
Foxtrot,Reverse Turn (incorporating Feather Finish),Pre-Bronze,5,LF to side and slightly fwd,Pointing DW,,Up,T,false,R,RF to side,Backing wall,1/4 between 4-5,Up,TH,false,L,
Foxtrot,Reverse Turn (incorporating Feather Finish),Pre-Bronze,6,RF fwd in CBMP OP,Facing DW,,Up. Lower e/o 6,TH,false,R,LF back in CBMP,Backing DW,1/8 between 5-6 Body turns less,Up. NFR Lower e/o 6,TH,false,L,
Foxtrot,Reverse Turn (incorporating Feather Finish),Pre-Bronze,7,LF fwd,Facing DW,Nil,,H,true,S,RF back,Backing DW,Nil,,T,true,S,
Foxtrot,Closed Impetus and Feather Finish,Pre-Bronze,1,LF back,Backing LOD,Com to turn R 3/8 between 1-2,Rise e/o 2,TH,true,S,RF fwd,Facing LOD,Com to turn R,,HT,true,S,
Foxtrot,Closed Impetus and Feather Finish,Pre-Bronze,2,RF closes to LF (Heel Turn),Facing DC,1/4 between 2-3,Up. Lower e/o 3,HT,false,L,LF to side,Backing DC,3/8 between 1-2,Rise e/o 2,T,false,R,
Foxtrot,Closed Impetus and Feather Finish,Pre-Bronze,3,LF to side and slightly back,Backing DC against the LOD,Com to turn L 1/4 between 4-5 Body turns less,Rise e/o 4,TH,false,S,RF diag fwd having brushed to LF,Facing DC against the LOD,1/4 between 2-3,Up. Lower e/o 3,TH,false,S,
Foxtrot,Closed Impetus and Feather Finish,Pre-Bronze,4,RF back,Backing DC against the LOD,,Up,THT,true,S,LF fwd,Facing DC against the LOD,Com to turn L,Rise e/o 4,HT,true,S,
Foxtrot,Closed Impetus and Feather Finish,Pre-Bronze,5,LF to side and slightly fwd,Pointing DC,,Up. Lower e/o 6,T,false,R,RF to side,Backing LOD,1/8 between 4-5,Up,TH,false,L,
Foxtrot,Closed Impetus and Feather Finish,Pre-Bronze,6,RF fwd in CBMP OP,Facing DC,,,TH,false,R,LF back in CBMP,Backing DC,1/8 between 5-6 Body turns less,Up. NFR Lower e/o 6,TH,false,L,
Foxtrot,Closed Impetus and Feather Finish,Pre-Bronze,7,LF fwd,Facing DC,Nil,,H,true,S,RF back,Backing DC,Nil,,T,true,S,
Foxtrot,Natural Weave,Gold,1,RF fwd,Facing LOD,Com to turn R Just under 3/8 between 1-2,Rise e/o 1,HT,true,S,LF back,Backing LOD,Com to turn R,Rise slightly e/o 1 NFR,TH,true,S,Note. Continuance of turn between steps 2-3 is important. Footwork of TH may be used on step 4.
Foxtrot,Natural Weave,Gold,2,LF to side,Backing almost DC,Slight turn to R between 2-3,Up,T,false,R,RF closes to LF (Heel Turn),Facing DC,3/8 between 1-2,Cont to rise on 2,HT,false,L,
Foxtrot,Natural Weave,Gold,3,RF back R side leading,Backing DC,Nil,Up,T,false,S,LF fwd preparing to step OP L side leading,Facing DC,Nil,Up,T,false,S,
Foxtrot,Natural Weave,Gold,4,LF back in CBMP,Backing DC,Com to turn L,Up,T,false,L,RF fwd in CBMP OP,Facing DC,Nil,Up,T,false,R,
Foxtrot,Natural Weave,Gold,5,RF back,Backing DC,1/4 between 5-6 Body turns less,Up,T,true,S,LF fwd,Facing DC,Com to turn L,Up,T,true,S,
Foxtrot,Natural Weave,Gold,6,LF to side and slightly fwd,Pointing DW,Nil,Up,T,false,R,RF to side,Backing wall,1/8 between 5-6,Up,TH,false,L,
Foxtrot,Natural Weave,Gold,7,RF fwd in CBMP OP,Facing DW,Nil,Up. Lower e/o 7,TH,false,R,LF back in CBMP,Backing DW,1/8 between 6-7 Body turns less,Up. NFR Lower e/o 7,TH,false,L,
Foxtrot,Natural Weave,Gold,8,LF fwd,Facing DW,Nil,,H,true,S,RF back,Backing DW,Nil,,T,true,S,
Foxtrot,Change of Direction,Bronze,1,LF fwd,Facing DW,Com to turn L 1/4 between 1-2,Nil,H,true,S,RF back,Backing DW,Com to turn L,Nil,TH,true,S,"Note. At corner, 3/8 or 1/2 turn may be made."
Foxtrot,Change of Direction,Bronze,2,RF diag fwd R side leading and close LF to RF slightly fwd without weight,DW R Toe pointing LOD End facing DC,Nil,Nil,IE of TH then IE of T of LF,false,L,LF diag back L side leading and close RF to LF slightly back without weight,Backing DW End backing DC,1/4 between 1-2,Nil,T IE of TH then IE of T of RF,false,R,
Foxtrot,Change of Direction,Bronze,3,LF fwd in CBMP,Facing DC,Nil,Nil,H,true,S,RF back in CBMP,Backing DC,Nil,Nil,T,true,S,
Foxtrot,Basic Weave,Silver,1,LF fwd,Facing DC against LOD,Com to turn L,Rise e/o 1,HT,true,S,RF back,Backing DC against LOD,Com to turn L 1/4 between 1-2 Body turns less.,Rise e/o 1 NFR,TH,true,S,Note. On step 3 the footwork of TH may be used. Follow may use ball to whole foot on preceding step.
Foxtrot,Basic Weave,Silver,2,RF to side,Backing LOD,1/8 between 1-2,Up,T,false,L,LF to side,Pointing DC,Nil,Up,T,false,R,
Foxtrot,Basic Weave,Silver,3,LF back in CBMP,Backing DC,1/8 between 2-3,Up,T,false,L,RF fwd in CBMP OP,Facing DC,Body turns less,Up,T,false,R,
Foxtrot,Basic Weave,Silver,4,RF back,Backing DC,Com to turn L,Up,T,true,S,LF fwd,Facing DC,Com to turn L 1/8 between 4-5,Up,T,true,S,
Foxtrot,Basic Weave,Silver,5,LF to side and slightly fwd,Pointing DW,1/4 between 4-5 Body turns less,Up,T,false,R,RF to side,Backing wall,1/8 between 5-6 Body turns less,Up,TH,false,L,
Foxtrot,Basic Weave,Silver,6,RF fwd in CBMP OP,Facing DW,Nil,Up. Lower e/o 6,TH,false,R,LF back in CBMP,Backing DW,1/8 between 5-6 Body turns less,Up NFR Lower e/o 6,TH,false,L,
Foxtrot,Basic Weave,Silver,7,LF fwd,Facing DW,Nil,,H,true,S,RF back,Backing DW,Nil,,T,true,S,
Foxtrot,Closed Telemark,Silver,1,LF fwd,Facing DC,Com to turn L,Rise e/o 1,HT,true,S,RF back,Backing DC,Com to turn L,Rise slightly e/o 1 NFR,TH,true,S,
Foxtrot,Closed Telemark,Silver,2,RF to side,Backing wall,1/4 between 1-2,Up,T,false,L,LF closes to RF (Heel Turn),Facing DW,Nil,Cont to rise on 2,HT,false,R,
Foxtrot,Closed Telemark,Silver,3,LF diag fwd,Facing DW,Nil,Up. Lower e/o 3,TH,false,S,RF back,Backing DW,Nil,Up. Lower e/o 3,TH,false,S,
Foxtrot,Closed Telemark,Silver,4,RF fwd in CBMP OP,Facing DW,Nil,,H,true,S,LF back in CBMP,Backing DW,Nil,,T,true,S,
Foxtrot,Open Telemark and Feather Ending,Silver,1,LF fwd,Facing DC,Com to turn L,Rise e/o 1,HT,true,S,RF back,Backing DC,Com to turn L,Rise slightly e/o 1 NFR,TH,true,S,Note. Weave from PP or Natural Weave from PP may follow 1-3 Open Telemark.
Foxtrot,Open Telemark and Feather Ending,Silver,2,RF to side,Backing DW,1/4 between 1-2,Up,T,false,L,LF closes to RF (Heel Turn),Facing LOD,3/8 between 1-2,Cont to rise on 2,HT,false,R,
Foxtrot,Open Telemark and Feather Ending,Silver,3,LF to side and slightly fwd in PP,Pointing DW Body facing wall,1/2 between 2-3 Body turns less,Up. Lower e/o 3,TH,false,S,RF diag. fwd in PP,Pointing to LOD,Slight body turn on L,Up. Lower e/o 3,TH,false,S,
Foxtrot,Open Telemark and Feather Ending,Silver,4,RF fwd in PP and CBMP,Pointing DW Body facing wall,Nil,Rise e/o 4,HT,true,S,LF fwd and across in PP and CBMP,Pointing to LOD (Moving DW),Com to turn L,Rise e/o 4,HT,true,S,
Foxtrot,Open Telemark and Feather Ending,Silver,5,LF diag fwd preparing to step OP,Facing DW,Nil,Up,T,false,R,RF to side and slightly back,Backing wall,1/4 between 4-5,Up,TH,false,L,
Foxtrot,Open Telemark and Feather Ending,Silver,6,RF fwd in CBMP OP,Facing DW,Nil,Up. Lower e/o 6,TH,false,R,LF back in CBMP,Backing DW,1/8 between 5-6 Body turns less,Up. NFR Lower e/o 6,TH,false,L,
Foxtrot,Open Telemark and Feather Ending,Silver,7,LF fwd,Facing DW,Nil,,H,true,S,RF back,Backing DW,Nil,,T,true,S,
Foxtrot,Top Spin,Gold,1,LF back in CBMP,Backing against LOD,1/8 to L between preceding step and 1,Up,T,true,S,RF fwd in CBMP OP,Facing against LOD,1/8 to L between preceding step and 1,Up,T,true,S,Note. Footwork of TH may be used on step 1 (Man).
Foxtrot,Top Spin,Gold,2,RF back,Backing DW against LOD,1/s between 1-2,Up,T,false,S,LF fwd,Facing DW against LOD,1/s between 1-2,Up,T,false,S,
Foxtrot,Top Spin,Gold,3,LF to side and slightly fwd,Pointing DC of new LOD,1/4 between 2-3 Body turns less,Up,T,false,R,RF to side,Backing new LOD,1/8 between 2-3,Up,TH,false,L,
Foxtrot,Top Spin,Gold,4,RF fwd in CBMP OP,Facing DC,Nil,Up. Lower e/o 4,TH,false,R,LF back in CBMP,Backing DC,1/8 between 3-4 Body turns less,Up. NFR Lower e/o 4,TH,false,L,
Foxtrot,Top Spin,Gold,5,LF fwd,Facing DC,Nil,,H,true,S,RF back,Backing DC,Nil,,T,true,S,
Foxtrot,Hover Feather,Silver,1,LF diag fwd preparing step OP L side leading,Facing DC,Nil,Rise e/o preceding Heel Pull. Up,T,false,L,RF diag back R side leading,Backing DC,Nil,Rise e/o Brush step Up,TH,false,R,Note. Taken after a Heel Pull. Body overturns slightly to R on Heel Pull.
Foxtrot,Hover Feather,Silver,2,RF fwd in CBMP OP,Facing DC,Nil,Up. Lower e/o 2,TH,false,S,LF back in CBMP,Backing DC,Nil,Up. NFR Lower e/o 2,TH,false,S,
Foxtrot,Hover Feather,Silver,3,LF fwd,Facing DC,Nil,,H,true,S,RF back,Backing DC,Nil,,T,true,S,
Foxtrot,Hover Telemark,Silver,1,LF fwd,Facing DW,Com to turn L 1/8 between 1-2,Com to rise e/o 1,HT,true,S,RF back,Backing DW,Com to turn L,Com to rise e/o 1 NFR,TH,true,S,Note. Note unusual type of rise.
Foxtrot,Hover Telemark,Silver,2,RF to side LF brushes towards RF,Facing LOD,Vs between 2-3 Body turns less,Cont to rise on 2,T (RF) then IE of T of LF,false,S,LF to side RF brushes towards LF,Backing LOD,1/8 between 1-2 1/8 between 2-3 Body turns less,Cont to rise on 2,T (LF) then IE of T of RF,false,S,
Foxtrot,Hover Telemark,Silver,3,LF to side and slightly fwd,Pointing DC,Nil,Up. Lower e/o 3,TH,false,S,RF to side and slightly back,Backing DC,Nil,Up. Lower e/o 3,TH,false,S,
Foxtrot,Hover Telemark,Silver,4,RF fwd in CBMP OP,Facing DC,Nil,,H,true,S,LF back in CBMP,Backing DC,Nil,,T,true,S,
Foxtrot,Natural Telemark,Silver,1,RF fwd,Facing DW,Com to turn R 1/4 between 1-2,Rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R,Rise slightly e/o 1 NFR,TH,true,S,"Note. When underturned, Follow will always turn 3/8 between 1-2."
Foxtrot,Natural Telemark,Silver,2,LF to side,Backing DC,1/2 between 2-3,Up,T,false,R,RF closes to LF (Heel turn),Facing LOD,3/8 between 1-2,Cont to rise on 2,HT,false,L,
Foxtrot,Natural Telemark,Silver,3,RF side (small step),Facing DC,Nil,Up,T,false,S,LF to side RF brushes towards LF,Backing DC,3/8 between 2-3,Up,TH,false,S,
Foxtrot,Natural Telemark,Silver,4,LF diag fwd preparing step OP L side leading,Facing DC,Nil,Up,T,false,S,RF diag back R side leading,Backing DC,Nil,Up,TH,false,S,
Foxtrot,Natural Telemark,Silver,5,RF fwd in CBMP OP,Facing DC,Nil,Up. Lower e/o 5,TH,false,S,LF back in CBMP,Backing DC,Nil,Up NFR. Lower e/o 5,TH,false,S,
Foxtrot,Natural Telemark,Silver,6,LF fwd,Facing DC,Nil,,H,true,S,RF back,Backing DC,Nil,,T,true,S,
Foxtrot,Hover Cross,Gold,1,RF fwd,Facing DW,Com to turn R 1/4 between 1-2,Rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R,Rise slightly e/o 1 NFR,TH,true,S,"Note. Slight lowering may be used on step 4, but L heel should not touch floor. Follow may turn head to R on steps 4-5."
Foxtrot,Hover Cross,Gold,2,LF to side,Backing DC,1/2 between 2-3 Body turns less,Up,T,false,R,RF closes to LF (Heel Turn),Facing LOD,3/8 between 1-2,Cont to rise on 2,HT,false,L,
Foxtrot,Hover Cross,Gold,3,RF to side,Pointing DW of new LOD,Slight body turn to R,Up,T,false,S,LF to side,Backing new LOD,1/4 between 2-3,Up,T,false,S,
Foxtrot,Hover Cross,Gold,4,LF fwd in CBMP OP on L side,Facing DW of new LOD,Com to turn L,Up,T,false,S,RF back in CBMP,Backing DW of new LOD,1/8 between 3-4 Body turns less,Up,T,false,S,
Foxtrot,Hover Cross,Gold,5,Transfer weight back to RF in CBMP,Backing DC against LOD,1/4 between 5-6 Body turns less,Up,T,true,S,Transfer weight fwd to LF in CBMP OP on L side,Facing DC against LOD,Com to turn L,Up,T,true,S,
Foxtrot,Hover Cross,Gold,6,LF to side and slightly fwd,Pointing DC,Nil,Up,T,false,R,RF to side,Backing LOD,1/s between 5-6,Up,TH,false,L,
Foxtrot,Hover Cross,Gold,7,RF fwd in CBMP OP,Facing DC,Nil,Up. Lower e/o 7,TH,false,R,LF back in CBMP,Backing DC,1/8 between 6-7 Body turns less,Up. NFR Lower e/o 7,TH,false,L,
Foxtrot,Hover Cross,Gold,8,LF fwd,Facing DC,Nil,,H,true,S,RF back,Backing DC,Nil,,T,true,S,
